subject_id,subject_kind,severity,category,details_json,suggested_fix
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Electronic literature""}",add edge OR remove claim from prose
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""ELO (Electronic Literature Organization)""}",add edge OR remove claim from prose
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Counterpath""}",add edge OR remove claim from prose
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Processing/p5.js community""}",add edge OR remove claim from prose
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Processing Foundation""}",add edge OR remove claim from prose
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""computational linguistics""}",add edge OR remove claim from prose
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""NLP/AI art""}",add edge OR remove claim from prose
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""academic creative writing""}",add edge OR remove claim from prose
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""ITP/NYU""}",add edge OR remove claim from prose
practitioner:allison parrish,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""AI/ML art scene""}",add edge OR remove claim from prose
practitioner:american artist,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""New York contemporary art""}",add edge OR remove claim from prose
practitioner:american artist,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Black art and technology""}",add edge OR remove claim from prose
practitioner:american artist,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""critical race and technology studies""}",add edge OR remove claim from prose
practitioner:american artist,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""museum circuit (MoMA, Whitney, Queens Museum)""}",add edge OR remove claim from prose
practitioner:american artist,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""academic discourse (Carnegie Mellon, Parsons)""}",add edge OR remove claim from prose
practitioner:american artist,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Rhizome network""}",add edge OR remove claim from prose
practitioner:american artist,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""post-internet art""}",add edge OR remove claim from prose
practitioner:anna ridler,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""machine learning art community""}",add edge OR remove claim from prose
practitioner:anna ridler,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""London digital art scene""}",add edge OR remove claim from prose
practitioner:anna ridler,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Royal College of Art""}",add edge OR remove claim from prose
practitioner:anna ridler,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Ars Electronica""}",add edge OR remove claim from prose
practitioner:anna ridler,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Barbican""}",add edge OR remove claim from prose
practitioner:anna ridler,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""V&A""}",add edge OR remove claim from prose
practitioner:anna ridler,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Serpentine""}",add edge OR remove claim from prose
practitioner:anna ridler,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""PHI Foundation Montreal""}",add edge OR remove claim from prose
practitioner:anna ridler,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""international biennials and media art festivals""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Long Now Foundation""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Roxy Music""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""art-rock scene""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""electronic music scene""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Tate""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""MoMA""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""generative art movement""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""ambient music""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""contemporary art""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""generative systems""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""long-term thinking communities""}",add edge OR remove claim from prose
practitioner:brian eno,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""museum/gallery world""}",add edge OR remove claim from prose
practitioner:cao fei,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Chinese contemporary art""}",add edge OR remove claim from prose
practitioner:cao fei,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Venice Biennale (2003, 2007, 2015)""}",add edge OR remove claim from prose
practitioner:cao fei,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Documenta""}",add edge OR remove claim from prose
practitioner:cao fei,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Serpentine Galleries""}",add edge OR remove claim from prose
practitioner:cao fei,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""MoMA PS1""}",add edge OR remove claim from prose
practitioner:cao fei,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""Centre Pompidou""}",add edge OR remove claim from prose
practitioner:cao fei,node,warning,claimed_but_unlinked,"{""model_id"": ""claude-haiku-4-5"", ""prompt_version"": 1, ""prose_claim"": ""UCCA Beijing""}",add edge OR remove claim from prose
