subject_id,subject_kind,severity,category,details_json,suggested_fix
CLASSIFIED_BY,edge,info,schema_agreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph: 'CLASSIFIED_BY (295 \u2014 any node \u2192 classification_regime that actively positioned it)'"", ""source_types"": [""any""], ""target_types"": [""classification_regime""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 222"", ""source_types"": [""any""], ""target_types"": [""classification_regime""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 297 edge structure table ('any \u2192 classification regime, Provenance: which research lens saw this node')"", ""source_types"": [""any""], ""target_types"": [""classification_regime""]}}, ""conformance_pct"": {""claude_md"": 100.0, ""skill_md"": 100.0, ""sources_md"": 100.0}, ""documents_disagree"": false, ""edge_count"": 295}",
COLLABORATES_WITH,edge,info,schema_agreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph (Database section, count 183)"", ""source_types"": [""practitioner""], ""target_types"": [""practitioner""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 223"", ""source_types"": [""practitioner""], ""target_types"": [""practitioner""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 298 edge structure table + line 121 (enrichment pass reclassification note)"", ""source_types"": [""practitioner""], ""target_types"": [""practitioner""]}}, ""conformance_pct"": {""claude_md"": 100.0, ""skill_md"": 100.0, ""sources_md"": 100.0}, ""documents_disagree"": false, ""edge_count"": 140}",
CONTESTS,edge,info,schema_agreement,"{""claims"": {""claude_md"": null, ""skill_md"": null, ""sources_md"": {""is_invitation"": true, ""ref"": ""SOURCES.md line 20 (invitation edge introduction) + line 322 (CONTESTS/TENSION_WITH empty section)"", ""source_types"": [""signal""], ""target_types"": [""edge""]}}, ""conformance_pct"": {""claude_md"": null, ""skill_md"": null, ""sources_md"": 100.0}, ""documents_disagree"": false, ""edge_count"": 0}",
CREATED_BY,edge,info,schema_agreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph (Database section, count 738)"", ""source_types"": [""artwork""], ""target_types"": [""practitioner""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 216"", ""source_types"": [""artwork""], ""target_types"": [""practitioner""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 295 edge structure table + line 314 (auto-derive refusal clause)"", ""source_types"": [""artwork""], ""target_types"": [""practitioner""]}}, ""conformance_pct"": {""claude_md"": 100.0, ""skill_md"": 100.0, ""sources_md"": 100.0}, ""documents_disagree"": false, ""edge_count"": 669}",
EMBODIES,edge,info,schema_agreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph (Database section, count 1096)"", ""source_types"": [""artwork""], ""target_types"": [""concept""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 217"", ""source_types"": [""artwork""], ""target_types"": [""concept""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 293 edge structure table + line 377 (Known Gaps #11 EMBODIES edge quality)"", ""source_types"": [""artwork""], ""target_types"": [""concept""]}}, ""conformance_pct"": {""claude_md"": 100.0, ""skill_md"": 100.0, ""sources_md"": 100.0}, ""documents_disagree"": false, ""edge_count"": 1196}",
EXHIBITED_AT,edge,info,schema_agreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md edge-types paragraph (Database section, count 305)"", ""source_types"": [""artwork""], ""target_types"": [""institution"", ""platform""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 221"", ""source_types"": [""artwork""], ""target_types"": [""institution"", ""platform""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md ('Edge type contract' section \u2014 points to SKILL.md)"", ""source_types"": [""artwork""], ""target_types"": [""institution"", ""platform""]}}, ""conformance_pct"": {""claude_md"": 100.0, ""skill_md"": 100.0, ""sources_md"": 100.0}, ""documents_disagree"": false, ""edge_count"": 38}",
INFLUENCES,edge,info,schema_agreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph + 'pipeline refuses to auto-emit INFLUENCES or RESPONDS_TO' clause"", ""source_types"": [""practitioner""], ""target_types"": [""practitioner""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table line 224 + hard rule lines 227-231"", ""source_types"": [""practitioner""], ""target_types"": [""practitioner""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 301 edge structure table + line 314 (auto-derive refusal) + line 320 (INFLUENCES sparseness rationale)"", ""source_types"": [""practitioner""], ""target_types"": [""practitioner""]}}, ""conformance_pct"": {""claude_md"": 100.0, ""skill_md"": 100.0, ""sources_md"": 100.0}, ""documents_disagree"": false, ""edge_count"": 1}",
PRACTICES,edge,info,schema_agreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph (Database section, count 461)"", ""source_types"": [""practitioner""], ""target_types"": [""concept""]}, ""skill_md"": {""is_invitation"": false, ""ref"": ""SKILL.md \u00a71.4 edge table, line 218"", ""source_types"": [""practitioner""], ""target_types"": [""concept""]}, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 294 edge structure table"", ""source_types"": [""practitioner""], ""target_types"": [""concept""]}}, ""conformance_pct"": {""claude_md"": 100.0, ""skill_md"": 100.0, ""sources_md"": 100.0}, ""documents_disagree"": false, ""edge_count"": 365}",
RESPONDS_TO,edge,info,schema_agreement,"{""claims"": {""claude_md"": {""is_invitation"": true, ""ref"": ""CLAUDE.md 'Edge types' paragraph: 'RESPONDS_TO (artwork \u2192 artwork) \u2014 left at zero because it requires evidence of artist intent'"", ""source_types"": [""artwork""], ""target_types"": [""artwork""]}, ""skill_md"": {""is_invitation"": true, ""ref"": ""SKILL.md \u00a71.4 edge table line 225 + \u00a71.4 'don't infer' hard rule lines 227-231 + \u00a75 Don'ts line 436"", ""source_types"": [""artwork""], ""target_types"": [""artwork""]}, ""sources_md"": {""is_invitation"": true, ""ref"": ""SOURCES.md line 20 (invitation edge introduction) + line 318 (RESPONDS_TO empty section)"", ""source_types"": [""artwork""], ""target_types"": [""artwork""]}}, ""conformance_pct"": {""claude_md"": 100.0, ""skill_md"": 100.0, ""sources_md"": 100.0}, ""documents_disagree"": false, ""edge_count"": 0}",
STYLE_KIN,edge,info,schema_agreement,"{""claims"": {""claude_md"": {""is_invitation"": false, ""ref"": ""CLAUDE.md 'Edge types' paragraph: 'STYLE_KIN (748, practitioner \u2194 practitioner, stored bidirectionally)' + Embedding pipeline section"", ""source_types"": [""practitioner""], ""target_types"": [""practitioner""]}, ""skill_md"": null, ""sources_md"": {""is_invitation"": false, ""ref"": ""SOURCES.md line 309 (embedding-pipeline table)"", ""source_types"": [""practitioner""], ""target_types"": [""practitioner""]}}, ""conformance_pct"": {""claude_md"": null, ""skill_md"": null, ""sources_md"": null}, ""documents_disagree"": false, ""edge_count"": 0}",
